id,car_name,yr_mfr,date_mfr,fuel_type,kms_run,sale_price,city,times_viewed,body_type,transmission,variant,assured_buy,emi_starts_from,booking_down_pymnt,total_owners
1,maruti swift dzire,2012,2021-03-16T05:00:49.555,petrol,69029,364299,pune,2068,sedan,manual,vxi 1.2 bs iv,TRUE,8462,54645,3
2,hyundai eon,2013,2021-03-10T12:08:11.905,petrol,45721,216799,gurgaon,903,hatchback,manual,era plus,TRUE,5036,32520,1
3,honda amaze,2013,2021-03-15T12:03:30.041,diesel,37395,387399,pune,2809,sedan,manual,1.5 smt i dtec,TRUE,8998,58110,1
4,hyundai i20,2012,2021-04-09T11:16:26.157,petrol,37652,364699,bengaluru,1054,hatchback,manual,magna o 1.2,TRUE,8471,54705,3
5,hyundai creta,2017,2021-04-01T07:24:31.712,diesel,53648,1082011,lucknow,2927,suv,automatic,1.6 crdi sx plus auto,TRUE,25132,162302,1
6,renault duster,2016,2021-03-20T08:11:03.55,petrol,55724,695999,bengaluru,889,suv,manual,rxl petrol 104,TRUE,16166,104400,1
7,hyundai i10,2010,2021-04-07T05:42:09.856,petrol,59295,286399,chennai,506,hatchback,manual,sportz 1.2 kappa2,TRUE,6652,42960,2
8,maruti alto k10,2014,2021-01-02T09:04:27.423,petrol,50294,283299,bengaluru,1281,hatchback,manual,vxi,TRUE,6580,42495,1
9,maruti eeco,2018,2021-03-07T06:08:05.583,petrol & cng,54422,346399,new delhi,864,suv,manual,5 str cng with ac plushtr,TRUE,8046,51960,2
10,maruti alto k10,2013,2020-12-21T10:01:35.047,petrol,116848,205299,bengaluru,1069,hatchback,manual,vxi,TRUE,4769,30795,1
11,hyundai venue,2019,2021-04-30T15:58:12.63,petrol,5450,1211594,mumbai,215,suv,,1.0 turbo gdi sx+ at,FALSE,28142,181740,1
12,mahindra xuv500,2015,2021-04-02T10:25:28.699,diesel,85560,715299,faridabad,245,luxury suv,manual,w8 fwd,TRUE,16615,107295,2
13,maruti swift,2015,2021-01-12T11:44:59.197,petrol,43743,499099,bengaluru,1233,hatchback,manual,vxi,TRUE,11593,74865,2
14,maruti ritz,2012,2021-01-11T10:06:36.131,diesel,72428,203899,new delhi,1164,hatchback,manual,ldi,TRUE,4736,30585,1
15,hyundai eon,2014,2021-02-20T07:44:30.52,petrol,26839,224999,new delhi,1010,hatchback,manual,era plus,TRUE,5226,33750,1
16,toyota corolla altis,2009,2021-03-06T06:54:12.098,petrol,246967,307999,mumbai,528,luxury sedan,,1.8 g,FALSE,7154,46200,2
17,hyundai santro xing,2008,2021-04-20T11:03:48.591,petrol,71758,157399,mumbai,263,hatchback,manual,gls,FALSE,3656,23610,1
18,hyundai i10,2012,2021-03-11T11:55:01.655,petrol,41632,383999,hyderabad,2472,hatchback,automatic,sportz 1.2 at kappa2,TRUE,8919,57600,1
19,honda city,2015,2021-03-07T07:48:50.813,petrol,121587,620299,hyderabad,935,sedan,manual,vx mt petrol,TRUE,14408,93045,1
20,maruti alto,2011,2021-04-12T10:48:44.875,petrol,26173,188399,ghaziabad,1657,hatchback,manual,lxi,TRUE,4376,28260,2
21,maruti swift,2015,2019-08-22T11:33:45.968,diesel,61537,450000,ahmedabad,361,,,vdi glory edition,FALSE,10452,67500,1
22,maruti wagon r 1.0,2010,2020-12-31T07:54:44.416,petrol,29699,210099,mumbai,843,hatchback,manual,vxi,TRUE,4880,31515,1
23,hyundai creta,2019,2021-03-27T13:21:05.604,petrol,31118,1155236,ahmedabad,31420,suv,,1.6 sx (o) vtvt,TRUE,26833,173286,1
24,hyundai santro xing,2008,2021-03-15T06:01:02.972,petrol,20719,242299,bengaluru,61930,hatchback,manual,gls,TRUE,5628,36345,1
25,hyundai i10,2012,2021-03-17T12:13:32.082,petrol,11420,270799,pune,863,hatchback,manual,sportz 1.2 kappa2,TRUE,6290,40620,2
26,hyundai i20,2011,2021-03-07T09:44:28.911,petrol,82120,387899,hyderabad,1489,hatchback,manual,asta 1.2,TRUE,9010,58185,1
27,maruti swift dzire,2012,2021-03-14T08:54:25.487,diesel,92029,417399,mumbai,252,sedan,manual,vdi bs iv,TRUE,9695,62610,2
28,maruti dzire,2019,2021-04-14T11:56:06.902,petrol,7723,651999,pune,978,sedan,manual,vxi,TRUE,15144,97800,1
